id,city,line_o,station_o,line_d,station_d,line1,line2,line3,line4,line5,line6,transfer1,transfer2,transfer3,transfer4,transfer5,HH1,MM1,SS1,HH2,MM2,SS2,d_time,nroutes,choice,age
252,sz,LINE 1,HI-TECH PARK,LINE 3,FUTIAN BONDED AREA,LINE 1,LINE 3,-3,,,,SHOPPING PARK,,,,,15,37,56,16,16,24,2308,2,3,2
253,sz,LINE 3,FUTIAN BONDED AREA,LINE 1,HI-TECH PARK,LINE 3,LINE 1,-3,,,,SHOPPING PARK,,,,,16,46,16,17,22,32,2176,2,3,2
254,sz,LINE 9,HIGH-TECH SOUTH,LINE 9,NANSHAN BOOK MALL,LINE 9,-3,-3,,,,,,,,,18,20,15,18,31,33,678,1,1,2
255,sz,LINE 2 (LINE 8),SEA WORLD,LINE 1,HI-TECH PARK,LINE 2 (LINE 8),LINE 1,-3,,,,WINDOW OF THE WORLD,,,,,16,29,33,17,1,44,1931,2,1,2
256,sz,LINE 1,SHENZHEN UNIVERSITY,LINE 1,TAOYUAN,LINE 1,-3,-3,,,,,,,,,18,53,0,19,1,11,491,1,1,2
257,sz,LINE 5,XILI,LINE 5,HONGLANG NORTH,LINE 5,-3,-3,,,,,,,,,8,21,41,8,32,59,678,1,3,3
258,sz,LINE 9,CHEGONGMIAO,LINE 6,YANGTAI MOUNTAIN EAST,LINE 9,LINE 6,-3,,,,YINHU,,,,,11,17,54,12,7,31,2977,2,3,2
259,sz,LINE 9,NANYOU,LINE 9,JINGTIAN,LINE 9,-3,-3,,,,,,,,,13,37,16,14,12,31,2115,1,1,3
260,sz,LINE 2 (LINE 8),JINGTIAN,LINE 2 (LINE 8),DENGLIANG,LINE 2 (LINE 8),-3,-3,,,,,,,,,16,14,7,16,43,51,1784,1,1,3
261,sz,LINE 2 (LINE 8),DENGLIANG,LINE 7,SHENYUN,LINE 2 (LINE 8),LINE 7,-3,,,,ANTUO HILL,,,,,17,28,51,18,1,34,1963,2,3,2
262,sz,LINE 7,SHENYUN,LINE 2 (LINE 8),QIAOCHENG NORTH,LINE 7,LINE 2 (LINE 8),-3,,,,ANTUO HILL,,,,,17,28,51,18,1,34,1963,2,3,2
263,sz,LINE 2 (LINE 8),QIAOCHENG NORTH,LINE 2 (LINE 8),DENGLIANG,LINE 2 (LINE 8),-3,-3,,,,,,,,,21,47,28,22,10,58,1410,1,3,2
264,sz,LINE 1,SHENZHEN UNIVERSITY,LINE 2 (LINE 8),JINGTIAN,LINE 1,LINE 2 (LINE 8),-3,,,,WINDOW OF THE WORLD,,,,,7,55,39,8,23,30,1671,2,3,2
265,sz,LINE 2 (LINE 8),JINGTIAN,LINE 1,HI-TECH PARK,LINE 2 (LINE 8),LINE 1,-3,,,,WINDOW OF THE WORLD,,,,,12,29,39,12,56,55,1636,2,3,2
266,sz,LINE 1,SHENZHEN UNIVERSITY,LINE 5,TANGLANG,LINE 1,LINE 5,-3,,,,BAO'AN CENTER,,,,,12,2,30,12,45,56,2606,2,3,2
267,sz,LINE 7,XILI LAKE,LINE 1,SHENZHEN UNIVERSITY,LINE 7,LINE 2 (LINE 8),LINE 1,,,,ANTUO HILL,WINDOW OF THE WORLD,,,,18,33,55,19,10,1,2166,3,3,2
268,sz,LINE 9,NANYOU,LINE 9,HIGH-TECH SOUTH,LINE 9,-3,-3,,,,,,,,,14,40,31,14,54,12,821,1,3,2
269,sz,LINE 9,HIGH-TECH SOUTH,LINE 9,NANYOU,LINE 9,-3,-3,,,,,,,,,17,10,33,17,22,22,709,1,1,2
270,sz,LINE 9,NANYOU,LINE 11,FUTIAN,LINE 9,LINE 11,-3,,,,HONGSHUWAN SOUTH,,,,,15,21,3,15,50,25,1762,2,3,2
